#x	y	res(1.25Hz)	phi(1.25Hz)	res(2.5Hz)	phi(2.5Hz)	res(5Hz)	phi(5Hz)	res(10Hz)	phi(10Hz)
0.088	0.120	6.619	-237	5.818	-133.3	5.949	-201	13.89	-765.1
0.159	0.120	6.981	-232.4	6.203	-153.8	6.267	-201.1	14.3	-584.4
0.247	0.120	7.452	-231.2	6.693	-191	6.711	-195.1	14.2	-706
0.352	0.120	7.731	-219.9	6.92	-221.3	6.935	-151.3	12.1	-1590
0.437	0.120	7.864	-89.12	7.072	-62.54	6.51	-34.5	11.44	1.554
0.517	0.120	8.439	57.89	8.238	123.9	7.248	-177.9	25.85	5562
0.597	0.120	8.393	-107.4	8.07	-66	8.81	-507.9	50.02	4755
0.677	0.120	8.737	-228.7	9.011	-218.8	8.463	-134.4	15.25	-733.4
0.757	0.120	9.353	-29.34	7.5	331.5	7.641	-230.2	1.781	-4459
0.837	0.120	8.567	-43.52	6.634	273	8.993	-480.1	4.171	-1010
0.917	0.120	8.064	0.1321	7.142	-60.34	8.451	7.392	9.966	744.2
0.997	0.120	6.982	-40.04	8.314	-422	8.228	-577.8	7.189	-1331
1.077	0.120	5.984	-79.05	6.76	-213.9	7.876	-542.3	5.364	-2010
1.157	0.120	6.838	42.88	7.019	-101	5.047	422.9	6.41	-2283
1.237	0.120	7.483	-119.5	6.214	61.68	5.838	-204.6	5.169	-1274
1.317	0.120	7.489	-270.1	6.307	-352.9	5.144	-126.4	5.341	339.1
1.397	0.120	7.383	136.8	8.393	-173.1	9.098	-188.5	36.47	2532
1.477	0.120	6.861	232.5	7.52	140.4	8.005	-494.1	14.81	-2965
1.557	0.120	8.116	-300.6	7.383	-244.3	8.799	-630.7	3.023	-3137
1.637	0.120	10.65	-120.6	12.21	-283.6	17.88	-307.4	6.018	-549.5
1.717	0.120	12.27	-8.266	8.649	10.99	9.003	-77.84	34.25	-2282
1.797	0.120	10.26	-344.4	6.768	-194	7.356	-382.8	9.67	-106.8
1.877	0.120	6.406	-49.45	9.508	-315.3	13.75	-476.2	1.789	-1939
1.957	0.120	5.641	195.7	5.716	-134.8	5.278	-242.9	28.63	-828.4
2.037	0.120	8.599	-227.3	7.052	-8.367	7.819	-244.8	26.55	676.1
2.117	0.120	9.968	-32.24	11.93	-132	10.78	-92.78	6.654	-1259
2.197	0.120	6.934	84.83	9.435	-275.8	8.229	-250.1	18.9	-2051
2.277	0.120	6.962	-28.97	6.351	-19.82	7.197	-356.5	12.2	-2657
2.373	0.120	8.774	-41.29	7.229	39.48	6.69	40.78	7.592	-2163
2.448	0.120	8.986	-21.68	7.682	17.65	6.153	209.3	5.884	-1819
2.493	0.120	8.838	-15.57	7.682	10.38	5.926	249.7	5.401	-1748
0.020	0.147	6.317	-242.5	5.5	-118.5	5.694	-199.8	13.41	-1001
0.069	0.147	6.459	-240.2	5.648	-125.8	5.818	-200.5	13.67	-899.6
0.134	0.147	6.746	-236.5	5.952	-142.2	6.076	-201.4	14.11	-746.4
0.217	0.147	7.145	-235.2	6.369	-172	6.462	-199.5	14.35	-774.1
0.316	0.147	7.434	-235.6	6.631	-210.6	6.784	-178	13.09	-1540
0.410	0.147	7.408	-145.9	6.539	-116.6	6.378	-84.04	10.91	-1346
0.490	0.147	7.641	47.16	7.166	95.83	6.174	-95.25	17.02	3250
0.570	0.147	7.505	57.56	7.24	-1.686	6.57	-376.7	32.36	4562
0.650	0.147	7.369	-66.81	7.838	-293.6	6.513	-215	14.82	-355
0.730	0.147	7.729	11.1	6.839	68.36	5.788	-146.3	1.834	-5121
0.810	0.147	7.147	-36.42	5.563	230.9	6.183	-487.8	2.258	-2914
0.890	0.147	6.537	-75.69	5.233	-30.43	5.113	-33.97	10.75	1263
0.970	0.147	5.585	-60.8	5.928	-377.6	4.886	-375.1	6.302	-1309
1.050	0.147	4.566	-155.6	4.462	-210.8	5.617	-790.3	2.402	-2678
1.130	0.147	4.943	-101.4	4.298	82.46	4.705	-124.9	1.829	-2630
1.210	0.147	5.964	-110.9	4.711	163.3	5.255	-396.1	2.526	-1123
1.290	0.147	6.249	-237.6	5.028	-55.29	5.295	-491.9	2.915	-121.5
1.370	0.147	6.25	60.14	6.788	-196.5	8.073	-269.7	15.82	1995
1.450	0.147	5.488	295.6	6.429	114.6	6.816	-333.7	14.22	-417.4
1.530	0.147	5.919	-129.5	5.914	-164.8	5.119	-514.3	2.075	-2029
1.610	0.147	8.111	-114.9	10.39	-324.1	10.29	-354.4	2.569	-717.3
1.690	0.147	9.938	84.44	9.158	-8.766	8.536	-104.9	22.53	-2716
1.770	0.147	8.623	-169.8	5.803	-5.404	5.06	-268.8	29.46	-107.4
1.850	0.147	5.342	-98.35	7.229	-274.3	8.919	-456.1	3.495	-125.9
1.930	0.147	4.143	280.5	5.473	-307.4	5.457	-288.9	22.37	-169.6
2.010	0.147	7.487	-21.89	6.876	-189.5	7.017	-213.1	46.3	2362
2.090	0.147	11.39	27.47	12.67	-68.16	10.05	-4.066	5.648	246.5
