47 # number of electrodes
# x y z
14.86	301.49	-1
  10	  13	  42	  45	-1.16793	-0.000158161	0.18968	-3e-05
  11	  14	  27	  30	17.4997	0.0183056	0.22179	0.00406
  11	  14	  43	  46	53.698	0.00721403	0.22179	0.0016
  12	  15	  28	  31	1.02339	0.00106157	0.20724	0.00022
  12	  15	  44	  47	-1.08861	-0.00014476	0.20724	-3e-05
  16	  19	   1	   3	-12.9948	-0.010107	0.41951	-0.00424
  16	  19	  32	  35	460256	238.373	0.41951	100
  17	  20	  33	  36	-4.1196	-0.00301154	0.05977	-0.00018
  18	  21	   2	   5	0.559026	0.000656229	0.21334	0.00014
  18	  21	  34	  37	-0.830679	-0.000703103	0.21334	-0.00015
  19	  22	   3	   6	-1.18962	-0.00143082	0.20967	-0.0003
  19	  22	  35	  38	6.97379	0.00620022	0.20967	0.0013
  20	  23	   4	   7	0.728277	0.000866138	0.23091	0.0002
  20	  23	  36	  39	11.5515	0.010307	0.23091	0.00238
  21	  24	   5	   8	-0.491081	-0.000570689	0.26284	-0.00015
  21	  24	  37	  40	28.6255	0.0251484	0.26284	0.00661
  22	  25	   6	   9	-3.1051	-0.00352022	0.11647	-0.00041
  22	  25	  38	  41	-7.19096	-0.00618185	0.11647	-0.00072
  23	  26	   7	  10	0.680068	0.000753849	0.25204	0.00019
  23	  26	  39	  42	24.5339	0.0206316	0.25204	0.0052
  24	  27	   8	  11	-1.15242	-0.00125328	0.24735	-0.00031
  24	  27	  40	  43	86.6635	0.0714372	0.24735	0.01767
  25	  28	   9	  12	3.6315	0.00388771	0.19806	0.00077
  25	  28	  41	  44	67.737	0.0548824	0.19806	0.01087
  26	  29	  10	  13	13.8465	0.014635	0.22617	0.00331
  26	  29	  42	  45	40.9713	0.0327188	0.22617	0.0074
  27	  30	  11	  14	9.04385	0.00946034	0.26109	0.00247
  27	  30	  43	  46	46.115	0.0363859	0.26109	0.0095
  28	  31	  12	  15	-1.69986	-0.00176328	0.13611	-0.00024
  28	  31	  44	  47	30.0006	0.0234369	0.13611	0.00319
  32	  35	   1	   3	42874.2	1.35	0.0004	0.00054
  32	  35	  16	  19	-11633.2	-6.025	0.0004	-0.00241
  33	  36	  17	  20	-514745	-376.294	0.26575	-100
  34	  37	   2	   5	41.5936	0.00320826	0.07169	0.00023
